"Table 1a. Coefficient of Variation of the Average Annual Family Income, by  Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
Siquijor,5.2,5.4,6.0,4.5,4.3,4.8,7.2,5.8,5.9,6.4,7.0,9.2,17.5,14.2,12.1,13.4,14.1,16.4,17.6,15.8,15.9,22.0,5.4,5.1,5.3,6.3,5.3,6.3,4.0,4.7,6.9,7.3,8.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VII - CENTRAL VISAYAS,3.2,3.3,2.3,2.5,2.1,2.1,2.7,2.3,2.4,2.7,8.3,2.8,3.1,2.7,2.2,2.5,2.4,2.2,2.4,2.5,2.3,4.5,2.2,2.3,2.0,2.1,2.5,2.4,2.3,2.3,2.3,2.5,3.0
Bohol,5.0,3.4,3.7,3.7,4.4,3.9,4.4,4.1,5.7,4.6,5.8,6.1,11.5,10.0,9.7,12.3,10.9,8.9,10.7,10.9,12.2,14.2,3.9,3.7,3.9,3.7,4.2,3.7,4.5,4.6,4.6,4.8,5.7
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),4.0,5.5,3.8,4.2,3.9,3.6,3.7,5.2,4.2,5.2,5.3,7.0,14.5,11.5,10.6,10.7,10.6,9.1,11.3,10.6,14.0,16.1,4.2,3.5,3.1,3.1,4.3,4.3,3.5,4.3,4.7,4.6,6.0
City of Cebu,11.3,3.4,3.4,4.0,4.2,5.1,4.9,4.3,4.7,6.5,32.1,6.3,12.2,10.9,11.3,11.2,10.6,12.8,12.5,10.4,12.2,13.4,3.2,3.5,3.1,3.5,3.5,3.5,4.1,3.9,5.2,4.8,8.0
City of Lapu-Lapu (Opon),4.0,3.8,3.4,3.8,3.5,4.2,4.4,4.9,4.8,5.3,6.9,6.9,11.7,10.9,12.3,10.2,11.3,11.2,9.4,11.0,12.0,17.6,3.8,2.5,3.1,3.6,3.6,4.2,3.5,3.4,4.3,4.9,4.9
City of Mandaue ,3.3,4.1,4.3,3.6,4.1,4.6,4.4,4.4,5.4,5.6,8.3,6.4,12.1,10.4,10.9,10.1,10.2,10.2,10.7,11.1,11.9,18.4,3.1,3.0,3.6,3.9,3.8,4.1,3.7,4.4,4.2,6.5,8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII - EASTERN VISAYAS,2.8,2.0,1.7,1.5,2.2,1.8,2.3,2.0,2.7,2.6,2.9,4.0,5.8,4.5,4.7,5.0,5.0,5.1,5.2,5.7,6.9,7.6,2.4,1.5,1.4,1.8,1.9,1.9,1.9,2.4,2.4,3.0,2.8
Eastern Samar,4.9,2.7,3.7,3.1,3.6,4.0,4.5,6.2,6.6,4.7,4.9,7.3,12.2,12.0,10.4,10.2,10.3,10.0,11.2,11.4,12.5,14.6,4.6,3.0,3.3,3.9,3.5,3.9,4.2,5.6,4.2,5.3,6.7
Leyte (Excluding City of Tacloban),6.2,4.0,2.9,3.6,4.7,4.0,4.6,4.0,5.4,5.7,5.6,9.2,11.5,8.6,10.1,10.0,9.5,12.1,12.0,12.2,13.8,17.7,5.1,2.7,2.6,3.6,3.8,3.9,3.7,4.3,5.0,6.4,6.1
City of Tacloban,4.7,3.8,2.9,4.2,4.3,4.3,5.1,4.9,6.1,4.9,5.4,7.5,14.1,11.7,11.3,9.9,11.0,10.5,10.8,11.0,13.1,18.1,5.8,4.3,2.8,2.9,3.0,4.3,4.5,4.7,4.6,5.8,5.6
Northern Samar,5.8,2.2,2.5,3.0,3.9,3.8,3.6,3.7,5.0,5.2,9.8,7.0,10.7,10.1,9.7,10.1,11.2,11.3,10.7,9.9,11.4,18.0,4.9,3.5,2.1,3.9,4.0,3.6,3.5,4.7,4.9,5.5,7.7
Samar (Western Samar),5.4,3.5,3.4,3.8,3.5,3.8,3.9,4.5,5.5,6.5,7.2,7.4,12.2,10.8,11.2,10.4,11.8,11.0,11.4,10.9,14.8,16.0,4.9,3.5,3.6,3.5,3.0,3.8,3.9,4.7,4.4,5.1,4.9
Southern Leyte,3.9,3.5,2.9,3.3,3.9,4.8,4.3,3.9,4.3,4.7,5.9,5.8,11.4,9.8,9.5,9.0,10.4,9.6,11.5,10.4,10.4,12.9,4.0,3.1,3.0,2.9,3.3,3.5,4.2,4.1,4.3,4.8,7.5
Biliran,5.9,2.9,3.3,3.0,4.7,3.6,4.5,3.4,5.7,5.0,8.2,6.7,12.1,11.4,10.1,8.7,9.3,11.0,11.2,11.1,9.9,15.5,3.9,2.4,2.5,2.2,3.8,3.2,4.0,5.3,5.1,4.7,5.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IX - ZAMBOANGA PENINSULA,2.8,1.8,1.7,2.1,1.8,2.0,2.2,2.0,2.2,2.6,4.3,3.9,6.5,4.9,5.4,5.0,5.1,5.5,5.5,5.6,5.9,9.3,2.7,2.3,1.5,1.8,1.6,2.0,1.8,1.9,2.0,2.3,4.2
Zamboanga Del Norte,6.3,3.6,3.5,3.5,3.7,3.7,4.3,4.1,4.5,4.9,6.2,8.5,13.0,9.3,11.0,10.3,9.3,9.9,11.1,11.7,14.0,19.2,6.4,2.7,2.7,4.0,2.9,4.4,3.9,4.0,4.6,5.0,10.1
Zamboanga Del Sur (Excluding City of Zamboanga),5.4,3.6,2.8,4.0,3.4,3.5,3.6,4.1,3.7,6.3,7.1,7.8,13.2,11.1,10.4,10.3,10.6,10.1,14.9,10.9,12.4,16.6,6.6,5.0,3.0,3.0,3.4,3.5,4.3,3.9,4.5,5.5,8.1
City of Zamboanga,4.1,4.2,3.6,3.1,3.8,3.4,3.1,3.6,5.1,5.3,6.7,6.0,13.2,12.2,10.8,10.6,12.4,9.1,10.3,9.2,11.1,16.1,3.1,3.8,3.2,2.9,3.1,2.7,3.3,2.7,3.5,4.3,6.5
Zamboanga Sibugay,7.7,3.0,3.4,2.8,3.1,2.4,4.0,4.0,4.6,5.5,13.9,10.3,13.7,10.7,9.8,10.2,8.8,10.8,10.3,10.2,14.0,22.7,6.0,2.6,3.0,3.1,3.4,3.7,3.5,3.6,3.8,4.5,6.6
Isabela City,6.6,7.1,4.5,5.6,5.6,5.5,7.4,5.2,8.6,7.9,6.7,7.0,19.9,15.7,16.6,15.2,14.3,15.2,20.2,18.0,14.4,16.1,5.1,4.5,6.6,3.8,5.7,5.5,6.6,7.8,7.0,6.0,15.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION X - NORTHERN MINDANAO,2.1,1.5,1.3,1.4,1.4,1.9,1.7,1.6,1.8,2.0,3.6,3.2,6.2,4.8,4.2,4.4,4.5,4.5,4.5,4.7,5.7,8.4,1.9,1.4,1.4,1.3,1.5,1.6,1.6,1.9,2.0,2.3,3.6
Bukidnon,5.7,3.4,3.3,2.8,3.0,4.0,4.1,3.9,3.8,4.8,10.7,6.3,15.4,11.1,11.4,10.6,9.6,9.7,11.6,10.8,13.2,15.2,3.6,2.8,3.1,3.1,3.0,2.8,3.8,3.6,5.0,4.7,6.3
Camiguin,5.8,4.5,4.7,4.9,6.4,6.6,5.6,5.9,7.6,5.2,7.9,10.0,9.9,16.8,13.8,12.6,13.8,15.0,11.0,16.9,17.9,22.8,4.9,3.6,5.3,4.8,4.5,4.8,5.9,4.9,6.2,4.8,10.0
Lanao Del Norte (Excluding City of Iligan),3.9,2.5,2.7,3.1,2.9,2.9,3.5,3.9,4.2,5.0,7.0,7.2,19.7,11.3,9.5,9.0,10.8,11.4,10.5,11.9,13.3,17.2,5.8,3.7,3.5,3.7,3.0,3.8,3.4,3.3,4.0,4.7,9.7
City of Iligan,4.0,4.5,3.2,3.0,3.8,3.5,4.1,4.6,4.0,4.6,5.7,5.5,12.9,9.9,9.6,10.1,8.8,9.8,11.1,11.0,10.8,15.6,4.2,3.4,3.3,3.2,3.7,3.9,3.7,4.7,3.8,5.3,6.4
Misamis Occidental,4.7,2.8,3.0,3.1,2.8,4.1,4.3,4.2,5.1,4.3,5.3,7.8,13.9,9.7,8.3,9.8,10.4,9.5,11.1,12.7,12.4,18.5,4.4,3.0,2.7,3.5,3.9,3.5,3.8,5.0,4.0,4.5,5.3
Misamis Oriental (Excluding City of Cagayan de Oro),4.0,3.0,2.9,3.2,2.9,4.2,4.1,3.5,4.6,4.3,6.6,5.7,11.0,10.5,8.8,8.4,10.2,10.5,10.6,9.0,10.5,13.6,3.3,3.0,2.7,2.3,3.3,3.9,4.0,3.9,4.2,4.9,5.2
City of Cagayan de Oro,4.7,2.7,3.1,3.6,3.6,3.3,4.6,4.3,4.8,4.3,5.6,9.2,12.7,10.3,9.0,10.5,8.7,10.2,10.7,11.4,15.0,26.1,5.3,3.2,3.7,3.2,3.0,3.6,3.8,5.4,4.5,4.6,13.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION XI - DAVAO REGION,2.3,1.8,1.5,1.5,1.5,1.8,2.0,2.0,1.9,2.7,4.1,3.8,5.5,4.5,4.7,5.0,4.8,5.0,5.5,6.3,6.2,9.3,4.1,2.4,1.4,1.7,1.8,1.9,1.9,2.0,2.4,2.5,11.3
Davao Del Norte,3.9,3.6,3.6,3.6,3.4,4.3,3.3,4.5,3.5,4.3,7.3,5.8,12.9,10.2,9.3,9.6,9.2,9.3,10.4,10.8,13.0,12.4,4.1,4.4,2.4,2.7,3.0,3.6,3.8,3.9,4.4,4.8,8.6
Davao Del Sur (Excluding City of Davao),5.1,3.2,3.3,3.6,3.3,3.8,3.9,3.7,5.0,6.3,7.0,6.5,12.6,10.5,9.9,11.0,8.6,9.4,9.9,11.2,10.5,16.8,4.8,4.3,3.1,3.1,3.1,3.8,3.3,3.7,4.0,5.6,12.0
City of Davao,4.4,7.5,3.0,3.2,3.9,3.3,3.2,4.1,4.6,5.2,7.8,7.0,12.1,10.6,8.8,10.1,9.8,10.1,12.0,11.5,10.4,16.4,8.3,6.1,5.0,4.0,3.3,3.8,3.1,4.0,4.1,5.0,20.9
Davao Oriental,6.9,2.5,2.9,3.0,4.1,3.8,3.1,3.5,5.7,5.4,12.9,7.0,14.8,10.1,9.9,10.4,12.6,11.4,11.2,10.6,13.1,16.3,3.6,2.7,3.0,3.1,3.7,3.2,3.4,4.3,4.6,4.9,5.6
Davao De Oro,4.3,4.1,3.6,4.0,4.4,3.7,4.4,4.0,4.0,4.8,7.2,8.7,14.2,11.9,11.1,12.1,12.3,13.3,14.2,13.2,13.5,16.2,3.8,3.4,2.8,3.0,3.2,2.9,3.6,3.3,4.3,6.5,6.4
Davao Occidental,5.0,2.6,2.6,2.9,3.1,3.3,4.3,3.9,4.5,4.8,9.4,6.0,14.2,10.8,11.1,8.7,9.4,10.0,10.8,9.7,10.1,16.4,4.6,7.4,1.9,2.7,2.8,3.0,3.5,3.3,3.8,4.6,6.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION XII - SOCCSKSARGEN1/,4.8,2.4,1.8,1.7,1.9,1.8,1.8,2.0,2.2,2.2,11.7,2.5,1.8,1.8,1.7,1.7,1.8,1.8,2.0,1.9,2.1,3.4,5.0,2.1,1.7,1.7,1.7,1.9,1.8,2.0,2.1,2.4,12.5
Cotabato (North Cotabato),12.4,3.3,3.8,3.6,4.6,3.7,3.1,4.8,4.8,4.6,26.7,5.1,3.4,3.7,3.2,3.6,3.2,3.4,4.1,3.9,3.9,5.4,6.6,4.0,5.0,3.6,3.7,3.1,4.0,3.9,4.1,4.3,8.3
South Cotabato (Excluding City of General Santos),6.4,6.7,3.3,4.2,3.3,3.6,3.6,3.8,4.6,4.1,12.7,4.7,3.9,3.0,3.0,3.4,3.3,4.8,3.8,4.3,4.7,5.3,4.3,4.2,2.6,3.4,3.8,3.4,3.9,4.1,4.7,5.2,6.8
City of General Santos (Dadiangas),3.7,5.3,2.8,3.1,3.4,3.7,3.2,4.1,4.9,4.5,5.8,6.2,3.2,3.1,3.2,3.1,3.1,3.8,4.5,3.7,5.7,10.6,5.3,4.1,3.1,3.1,3.9,3.5,4.6,5.0,7.0,7.2,4.9
Sultan Kudarat,4.6,2.7,4.4,3.2,3.8,4.0,3.8,4.8,4.9,4.7,6.9,5.4,3.3,4.1,4.6,3.6,4.0,3.8,4.3,4.9,3.5,5.9,23.0,4.2,3.4,3.5,3.8,4.0,3.4,5.3,4.8,4.9,46.8
Sarangani,4.7,4.8,3.5,3.3,4.1,3.6,3.7,3.5,3.4,4.7,6.2,4.9,3.3,3.5,2.9,3.0,3.6,2.6,4.1,3.8,4.4,8.4,4.9,5.2,2.9,2.8,3.3,3.4,3.6,3.1,4.7,4.9,6.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARAGA,3.0,1.5,1.4,1.7,1.7,1.7,1.7,1.9,1.9,2.1,5.6,3.2,6.4,5.2,4.8,4.9,5.1,5.3,5.2,5.1,5.5,7.8,2.3,1.6,1.4,1.4,1.6,1.5,1.9,2.0,2.1,2.4,4.1
Agusan Del Norte (Excluding City of Butuan),4.3,4.4,3.6,4.0,3.8,4.0,4.0,3.5,4.1,5.1,6.5,7.0,11.2,9.7,10.1,10.2,9.7,10.6,10.2,11.0,12.3,16.0,4.0,3.9,3.0,3.4,3.3,3.3,4.1,5.0,4.1,4.6,5.7
City of Butuan,5.9,3.7,4.4,4.7,3.6,3.9,3.5,4.5,4.7,4.2,7.5,6.5,13.0,9.9,9.3,8.3,9.9,9.8,9.7,11.4,14.6,14.5,6.3,4.2,3.1,3.2,4.1,4.0,4.0,5.0,4.4,4.2,8.5
Agusan Del Sur,9.5,3.1,3.2,3.0,3.2,4.1,3.7,3.8,4.7,4.3,17.8,6.5,10.9,11.6,10.9,10.4,10.4,12.0,11.3,12.1,11.2,15.8,4.9,3.1,2.8,3.2,3.3,3.9,2.9,4.5,4.8,5.2,8.2
Surigao Del Norte,5.5,3.2,3.7,3.6,3.9,3.5,4.4,4.3,4.5,4.1,6.4,10.1,16.6,13.6,15.5,12.6,15.1,14.1,17.1,15.3,15.4,23.4,5.5,2.7,2.7,3.7,3.2,4.4,4.1,4.8,4.8,6.6,10.1
Surigao Del Sur,4.5,3.0,3.6,4.0,2.7,3.6,3.7,5.1,4.7,4.6,6.4,6.2,14.3,9.9,8.7,10.3,10.0,9.6,9.5,10.6,11.9,15.9,4.0,2.8,2.7,2.9,3.0,3.1,3.8,4.1,4.0,5.2,9.5
Dinagat Islands,5.5,4.4,4.4,5.6,6.7,6.1,6.1,5.7,5.9,6.9,11.9,6.6,21.1,14.5,13.6,12.8,13.9,13.3,15.8,14.1,15.8,16.6,4.2,4.7,4.2,4.2,4.1,6.3,4.7,6.2,5.7,4.9,7.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,1.9,1.7,1.5,1.4,1.3,1.5,1.6,1.7,1.7,2.1,3.6,1.5,1.8,1.6,1.7,1.7,1.9,1.6,1.9,1.8,2.0,3.3,1.6,1.8,1.1,1.3,1.4,1.4,1.5,1.7,1.9,2.7,4.5
Basilan,3.9,2.6,4.1,3.5,4.0,3.5,3.8,4.2,3.9,5.0,6.0,5.0,3.3,2.7,2.9,4.0,3.6,3.3,3.3,4.1,4.0,10.2,2.8,3.0,2.7,3.5,4.1,2.9,3.5,2.9,3.7,4.1,7.6
Lanao Del Sur,4.2,3.8,2.9,3.3,2.7,3.7,2.9,3.2,4.0,4.5,8.6,1.8,2.8,2.5,2.4,2.5,2.3,2.5,2.6,3.3,3.6,6.3,3.8,2.3,2.6,3.0,3.2,3.1,2.8,4.0,4.5,5.7,9.8
Maguindanao ,4.5,3.4,2.8,3.3,3.6,2.9,4.0,3.8,3.8,4.4,7.7,3.6,2.9,3.3,2.8,3.4,3.6,3.6,3.9,4.1,3.9,6.5,1.9,2.9,1.8,1.6,1.8,2.3,2.2,2.2,2.2,2.9,5.3
Maguindanao del Norte,,,,,,,,,,,,,,,,,,,,,,,3.8,2.3,2.6,3.0,3.2,3.1,2.8,4.0,4.5,5.7,9.8
Maguindanao del Sur,,,,,,,,,,,,,,,,,,,,,,,3.8,2.3,2.6,3.0,3.2,3.1,2.8,4.0,4.5,5.7,9.8
Sulu,2.1,2.5,2.3,2.2,2.1,2.7,1.9,2.8,2.3,3.7,6.2,3.0,4.4,3.8,3.1,3.4,3.1,3.1,3.5,3.5,5.8,9.5,3.6,2.2,2.5,2.4,2.4,2.5,3.3,4.1,3.5,6.0,8.3
Tawi-Tawi,2.8,3.8,2.8,2.8,3.2,2.6,4.3,3.2,4.8,5.6,8.7,4.6,3.9,3.0,3.3,3.0,3.2,2.5,3.5,5.2,4.8,8.5,3.3,4.7,3.3,3.0,3.3,2.9,2.8,2.8,4.7,4.8,5.3
Cotabato City,4.6,4.6,2.9,4.5,4.3,4.4,4.9,5.9,4.7,5.6,7.9,4.0,4.5,2.9,4.1,3.0,4.1,3.4,4.5,5.0,5.7,8.8,3.9,3.3,3.5,4.0,3.8,4.0,5.0,4.6,6.2,6.1,10.0
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p - Estimates are preliminary and may change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
