"Table 1a. Coefficient of Variation of the Average Annual Family Income, by  Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
City of Taguig,2.9,4.4,4.7,4.3,4.1,4.7,5.9,4.7,5.5,5.7,5.7,5.9,12.9,11.5,11.2,11.1,11.2,10.8,11.4,11.5,10.1,16.9,7.3,3.4,3.1,3.6,3.2,3.7,3.5,3.6,3.7,3.8,15.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR - CORDILLERA ADMINISTRATIVE REGION,2.6,1.6,1.4,1.5,1.7,1.7,1.9,2.1,2.2,2.5,6.4,3.1,4.6,4.3,4.5,4.4,4.5,4.7,4.9,4.7,5.1,7.7,1.6,1.6,1.3,1.6,1.6,1.8,1.8,1.9,2.0,2.5,3.4
Abra,4.0,3.5,4.5,3.2,3.4,3.5,3.9,4.1,4.7,5.1,5.9,6.9,11.5,9.2,10.0,9.3,11.0,11.0,10.5,11.1,11.4,15.5,3.4,5.0,2.8,3.5,4.1,3.8,3.8,3.6,4.7,4.1,7.6
Benguet (Excluding City of Baguio),6.9,4.7,4.0,4.2,3.6,4.1,4.1,5.7,5.2,5.2,16.6,7.8,10.9,11.3,11.1,11.0,9.7,11.2,11.5,11.2,13.9,19.7,3.7,3.8,2.9,3.7,3.5,4.0,3.8,4.7,4.8,6.0,7.2
City of Baguio,4.2,3.2,3.3,3.5,3.7,4.0,4.7,4.6,5.7,4.8,12.8,6.1,9.1,9.9,10.6,10.2,11.0,9.7,10.8,10.2,11.3,15.8,2.6,4.1,3.5,3.3,3.7,3.8,3.8,4.3,4.8,5.2,7.3
Ifugao,6.0,2.8,3.0,3.3,4.5,3.8,6.7,4.9,4.6,5.0,14.0,7.0,12.9,9.9,9.4,9.4,10.5,9.1,10.1,11.6,14.1,17.1,5.8,3.0,3.0,3.1,3.6,4.2,4.9,4.2,5.5,6.0,9.3
Kalinga,5.8,3.0,3.1,3.2,3.7,3.7,3.8,5.5,4.5,4.2,9.3,6.9,13.8,12.4,9.0,10.7,10.2,9.1,11.5,10.8,10.2,16.7,3.5,2.2,2.7,3.1,3.5,3.7,3.5,4.3,4.5,6.1,4.9
Mountain Province,5.6,3.7,3.6,3.4,3.8,4.7,5.9,5.4,5.3,4.9,7.4,8.0,11.4,9.8,7.8,10.5,10.4,8.6,10.4,12.3,11.1,22.4,4.2,2.7,3.1,2.6,3.9,4.6,5.7,5.6,5.6,5.7,8.6
Apayao,6.8,4.4,5.3,4.6,4.9,3.5,7.4,6.9,5.2,5.6,12.1,7.7,19.4,13.0,14.8,16.2,12.1,15.1,14.5,15.7,16.2,18.0,7.0,2.9,3.8,5.8,6.3,4.7,4.8,7.8,7.9,7.1,11.8
