"Table 2. Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Malabon,275.65,195.27,226.41,236.74,254.51,248.88,266.80,288.70,335.16,333.82,370.13,253.71,169.59,190.15,200.27,211.70,236.85,251.86,263.86,288.84,301.60,421.51,297.51,217.60,229.80,252.72,263.87,263.06,312.07,316.41,306.78,377.60,434.23,-8.0,-13.2,-16.0,-15.4,-16.8,-4.8,-5.6,-8.6,-13.8,-9.7,13.9,17.3,28.3,20.9,26.2,24.6,11.1,23.9,19.9,6.2,25.2,3.0
City of Navotas,264.39,176.09,196.86,219.56,240.68,257.54,258.80,298.53,282.33,315.26,397.98,233.89,171.33,186.18,200.13,211.69,208.53,238.41,242.08,264.96,269.10,345.87,275.24,221.65,228.86,266.79,249.08,261.33,272.95,287.04,286.63,329.81,347.76,-11.5,-2.7,-5.4,-8.9,-12.0,-19.0,-7.9,-18.9,-6.2,-14.6,-13.1,17.7,29.4,22.9,33.3,17.7,25.3,14.5,18.6,8.2,22.6,0.6
City of Valenzuela,296.12,205.69,236.80,236.92,270.80,272.37,310.37,296.31,318.03,353.22,460.78,279.42,182.31,206.60,219.68,246.70,250.66,261.52,308.04,330.33,383.34,403.78,305.32,234.17,241.23,251.25,288.42,300.56,317.90,312.22,344.31,337.51,425.05,-5.6,-11.4,-12.8,-7.3,-8.9,-8.0,-15.7,4.0,3.9,8.5,-12.4,9.3,28.4,16.8,14.4,16.9,19.9,21.6,1.4,4.2,-12.0,5.3
NCR IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Las Piñas,403.88,224.31,269.92,311.26,310.39,349.69,368.26,461.90,454.71,603.90,685.02,301.51,183.03,204.87,226.53,234.00,258.43,303.95,309.66,357.81,401.44,534.31,391.48,256.55,279.20,301.65,315.95,360.13,363.80,392.73,460.91,539.99,642.14,-25.4,-18.4,-24.1,-27.2,-24.6,-26.1,-17.5,-33.0,-21.3,-33.5,-22.0,29.8,40.2,36.3,33.2,35.0,39.4,19.7,26.8,28.8,34.5,20.2
City of Muntinlupa,368.49,205.69,245.00,255.23,268.32,306.30,304.76,363.98,374.74,465.94,894.78,315.87,201.15,229.00,251.40,249.28,302.81,316.41,327.60,411.76,390.34,478.34,376.15,277.93,307.58,316.92,344.28,335.46,385.71,384.36,389.80,445.92,572.59,-14.3,-2.2,-6.5,-1.5,-7.1,-1.1,3.8,-10.0,9.9,-16.2,-46.5,19.1,38.2,34.3,26.1,38.1,10.8,21.9,17.3,-5.3,14.2,19.7
City of Parañaque,406.22,213.47,242.18,289.57,301.84,333.13,350.47,390.07,461.53,664.68,813.65,377.33,199.63,227.99,261.76,264.53,294.84,303.88,358.82,410.32,500.01,944.61,384.49,263.47,283.64,280.54,319.26,332.26,343.66,391.67,387.54,495.16,746.45,-7.1,-6.5,-5.9,-9.6,-12.4,-11.5,-13.3,-8.0,-11.1,-24.8,16.1,1.9,32.0,24.4,7.2,20.7,12.7,13.1,9.2,-5.6,-1.0,-21.0
Pasay City,300.79,190.35,223.56,234.57,275.42,292.24,269.98,318.65,376.99,395.77,430.11,283.41,186.69,208.31,227.49,255.81,276.08,281.46,302.37,326.27,338.49,429.95,332.99,254.82,278.47,287.51,299.44,334.22,352.84,341.82,380.67,369.45,429.16,-5.8,-1.9,-6.8,-3.0,-7.1,-5.5,4.3,-5.1,-13.5,-14.5,0.0,17.5,36.5,33.7,26.4,17.1,21.1,25.4,13.1,16.7,9.2,-0.2
City of Makati,482.05,244.44,319.66,346.98,370.96,382.48,405.22,474.24,508.42,594.44,"1,176.81",414.46,223.06,278.58,299.33,323.48,312.04,393.85,355.28,391.47,425.05,1136.90,506.90,261.46,302.12,364.94,370.50,390.86,404.49,427.22,466.21,559.42,1517.96,-14.0,-8.8,-12.9,-13.7,-12.8,-18.4,-2.8,-25.1,-23.0,-28.5,-3.4,22.3,17.2,8.5,21.9,14.5,25.3,2.7,20.3,19.1,31.6,33.5
Pateros,365.06,200.99,235.89,284.37,346.49,356.76,364.79,383.69,466.22,443.93,566.54,276.97,179.71,220.76,219.15,245.55,279.22,271.86,312.68,295.80,347.14,395.42,363.61,233.41,270.86,276.33,318.23,366.10,362.38,374.75,419.03,479.12,532.95,-24.1,-10.6,-6.4,-22.9,-29.1,-21.7,-25.5,-18.5,-36.6,-21.8,-30.2,31.3,29.9,22.7,26.1,29.6,31.1,33.3,19.9,41.7,38.0,34.8
