"Table 3. Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezon City," 340,450.04 "," 16,200.91 "," 19,913.52 "," 20,545.99 "," 23,706.56 "," 26,909.54 "," 30,034.67 "," 35,953.16 "," 39,623.60 "," 50,215.87 "," 77,346.23 "," 315,867.49 "," 17,265.27 "," 19,203.69 "," 22,399.50 "," 23,882.82 "," 27,449.09 "," 27,241.02 "," 31,191.57 "," 35,536.29 "," 39,199.81 "," 72,498.44 "," 359,208.80 "," 20,501.01 "," 25,201.84 "," 24,932.28 "," 29,128.12 "," 30,704.25 "," 31,496.79 "," 36,983.61 "," 41,553.40 "," 44,645.26 "," 74,062.25 ",-7.2,6.6,-3.6,9.0,0.7,2.0,-9.3,-13.2,-10.3,-21.9,-6.3,13.7,18.7,31.2,11.3,22.0,11.9,15.6,18.6,16.9,13.9,2.2
City of Marikina," 48,538.67 "," 2,172.53 "," 2,525.15 "," 3,024.70 "," 3,523.89 "," 3,958.40 "," 4,241.79 "," 4,941.79 "," 5,974.21 "," 6,844.62 "," 11,331.59 "," 51,462.72 "," 2,408.44 "," 2,985.10 "," 3,725.41 "," 4,062.73 "," 3,960.24 "," 4,452.57 "," 5,140.25 "," 6,136.91 "," 6,930.35 "," 11,660.71 "," 60,399.48 "," 3,086.86 "," 3,654.14 "," 3,832.83 "," 4,551.19 "," 5,102.32 "," 5,477.41 "," 6,405.09 "," 6,708.86 "," 8,202.01 "," 13,378.77 ",6.0,10.9,18.2,23.2,15.3,0.1,5.0,4.0,2.7,1.3,2.9,17.4,28.2,22.4,2.9,12.0,28.8,23.0,24.6,9.3,18.4,14.7
City of Pasig," 88,774.66 "," 4,054.37 "," 5,193.79 "," 6,331.40 "," 6,688.45 "," 7,737.43 "," 8,222.33 "," 9,023.06 "," 10,888.25 "," 11,771.78 "," 18,863.82 "," 91,036.89 "," 4,587.14 "," 5,527.01 "," 6,336.98 "," 7,181.14 "," 8,036.58 "," 8,477.00 "," 9,076.68 "," 11,063.25 "," 11,258.18 "," 19,492.94 "," 130,765.02 "," 5,727.71 "," 7,108.99 "," 8,616.31 "," 9,190.88 "," 11,088.94 "," 12,045.15 "," 13,856.16 "," 13,573.81 "," 16,769.11 "," 32,787.96 ",2.6,13.1,6.4,0.1,7.4,3.9,3.1,0.6,1.6,-4.4,3.3,43.6,24.9,28.6,36.0,28.0,38.0,42.1,52.7,22.7,49.0,68.2
NCR III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Caloocan," 141,351.28 "," 6,913.78 "," 8,804.20 "," 9,527.75 "," 11,662.00 "," 12,364.79 "," 13,480.48 "," 14,232.14 "," 16,910.58 "," 19,393.07 "," 28,062.50 "," 129,885.82 "," 7,449.83 "," 8,654.86 "," 9,641.16 "," 10,626.57 "," 11,525.44 "," 12,638.44 "," 13,693.40 "," 15,020.12 "," 17,998.65 "," 22,637.36 "," 154,161.91 "," 9,714.43 "," 11,273.81 "," 11,602.38 "," 13,567.60 "," 14,658.11 "," 15,307.98 "," 17,141.94 "," 18,023.03 "," 19,089.52 "," 23,783.10 ",-8.1,7.8,-1.7,1.2,-8.9,-6.8,-6.3,-3.8,-11.2,-7.2,-19.3,18.7,30.4,30.3,20.3,27.7,27.2,21.1,25.2,20.0,6.1,5.1
City of Malabon," 31,750.68 "," 1,866.51 "," 2,298.05 "," 2,408.53 "," 2,682.49 "," 2,647.08 "," 2,968.51 "," 3,298.03 "," 3,918.36 "," 4,178.40 "," 5,484.72 "," 31,403.20 "," 1,850.47 "," 2,159.84 "," 2,299.82 "," 2,528.62 "," 2,816.92 "," 3,258.91 "," 3,351.83 "," 3,674.22 "," 3,785.65 "," 5,676.91 "," 34,270.92 "," 2,104.70 "," 2,358.35 "," 2,660.35 "," 2,895.43 "," 2,970.05 "," 3,583.68 "," 3,716.05 "," 3,632.12 "," 4,682.16 "," 5,668.04 ",-1.1,-0.9,-6.0,-4.5,-5.7,6.4,9.8,1.6,-6.2,-9.4,3.5,9.1,13.7,9.2,15.7,14.5,5.4,10.0,10.9,-1.2,23.7,-0.2
City of Navotas," 21,905.68 "," 1,138.95 "," 1,314.04 "," 1,574.04 "," 1,731.19 "," 1,923.65 "," 2,097.62 "," 2,416.39 "," 2,393.69 "," 2,598.63 "," 4,717.48 "," 20,510.06 "," 1,336.50 "," 1,532.70 "," 1,649.29 "," 1,774.50 "," 1,806.73 "," 2,075.61 "," 2,167.24 "," 2,309.39 "," 2,493.03 "," 3,365.07 "," 21,291.41 "," 1,456.07 "," 1,594.94 "," 1,902.55 "," 1,825.99 "," 1,963.39 "," 2,140.99 "," 2,217.79 "," 2,340.40 "," 2,761.59 "," 3,087.70 ",-6.4,17.3,16.6,4.8,2.5,-6.1,-1.1,-10.3,-3.5,-4.1,-28.7,3.8,9.0,4.1,15.4,2.9,8.7,3.2,2.3,1.3,10.8,-8.2
City of Valenzuela," 60,113.79 "," 3,463.15 "," 4,296.10 "," 4,310.59 "," 5,109.59 "," 5,256.32 "," 6,258.84 "," 6,012.56 "," 6,724.42 "," 7,517.83 "," 11,164.38 "," 62,704.85 "," 3,450.18 "," 4,106.42 "," 4,563.09 "," 5,289.66 "," 5,260.84 "," 5,728.56 "," 6,971.48 "," 7,374.70 "," 9,328.28 "," 10,631.65 "," 69,892.16 "," 4,429.33 "," 4,856.89 "," 5,187.11 "," 5,997.13 "," 6,898.67 "," 7,275.01 "," 7,464.16 "," 8,269.32 "," 8,139.70 "," 11,374.83 ",4.3,-0.4,-4.4,5.9,3.5,0.1,-8.5,16.0,9.7,24.1,-4.8,11.5,28.4,18.3,13.7,13.4,31.1,27.0,7.1,12.1,-12.7,7.0
NCR IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Las Piñas," 77,305.75 "," 3,428.67 "," 4,412.58 "," 5,303.65 "," 5,771.18 "," 6,461.74 "," 7,059.95 "," 8,437.25 "," 8,712.04 "," 12,413.93 "," 15,304.76 "," 65,582.27 "," 3,336.31 "," 3,976.73 "," 4,622.11 "," 5,025.24 "," 5,623.53 "," 6,565.61 "," 6,798.10 "," 7,748.51 "," 8,774.50 "," 13,111.64 "," 96,816.95 "," 4,905.24 "," 5,972.29 "," 6,668.52 "," 7,403.72 "," 9,040.78 "," 9,110.02 "," 9,793.41 "," 11,876.12 "," 14,072.90 "," 17,973.95 ",-15.2,-2.7,-9.9,-12.9,-12.9,-13.0,-7.0,-19.4,-11.1,-29.3,-14.3,47.6,47.0,50.2,44.3,47.3,60.8,38.8,44.1,53.3,60.4,37.1
City of Muntinlupa," 64,274.79 "," 3,094.77 "," 3,721.81 "," 4,188.18 "," 4,411.52 "," 5,038.91 "," 5,278.37 "," 6,383.30 "," 6,691.37 "," 8,691.80 "," 16,774.77 "," 60,390.76 "," 3,222.96 "," 3,875.35 "," 4,363.52 "," 4,461.54 "," 5,302.92 "," 5,836.26 "," 6,395.20 "," 7,899.76 "," 8,094.04 "," 10,939.21 "," 80,328.59 "," 5,055.53 "," 5,737.72 "," 6,193.05 "," 6,818.25 "," 6,806.80 "," 8,057.82 "," 8,179.70 "," 8,543.02 "," 10,218.37 "," 14,718.31 ",-6.0,4.1,4.1,4.2,1.1,5.2,10.6,0.2,18.1,-6.9,-34.8,33.0,56.9,48.1,41.9,52.8,28.4,38.1,27.9,8.1,26.3,34.6
City of Parañaque," 93,913.75 "," 4,137.54 "," 5,361.83 "," 6,406.64 "," 6,762.74 "," 8,068.85 "," 8,061.08 "," 9,618.36 "," 10,781.51 "," 14,856.41 "," 19,858.80 "," 93,220.34 "," 4,193.32 "," 5,262.76 "," 6,056.41 "," 6,152.67 "," 7,314.07 "," 7,372.59 "," 9,172.76 "," 10,429.75 "," 12,911.46 "," 24,354.55 "," 114,375.68 "," 5,989.89 "," 7,156.42 "," 7,495.51 "," 9,020.57 "," 9,714.27 "," 9,982.91 "," 11,765.98 "," 12,005.04 "," 14,393.33 "," 26,851.75 ",-0.7,1.4,-1.9,-5.5,-9.0,-9.4,-8.5,-4.6,-3.3,-13.1,22.6,22.7,42.8,36.0,23.8,46.6,32.8,35.4,28.3,15.1,11.5,10.3
Pasay City," 49,277.21 "," 2,444.21 "," 3,082.72 "," 3,527.71 "," 4,263.91 "," 4,662.40 "," 4,426.24 "," 5,524.07 "," 6,178.42 "," 7,014.22 "," 8,153.32 "," 46,705.45 "," 2,364.50 "," 2,842.66 "," 3,390.00 "," 3,737.06 "," 4,298.11 "," 4,483.05 "," 5,070.60 "," 5,922.81 "," 6,076.20 "," 8,520.46 "," 58,005.62 "," 3,517.44 "," 4,001.78 "," 4,292.48 "," 4,931.53 "," 5,563.65 "," 6,010.80 "," 6,272.59 "," 6,863.36 "," 6,914.58 "," 9,637.41 ",-5.2,-3.3,-7.8,-3.9,-12.4,-7.8,1.3,-8.2,-4.1,-13.4,4.5,24.2,48.8,40.8,26.6,32.0,29.4,34.1,23.7,15.9,13.8,13.1
City of Makati," 112,920.17 "," 4,657.52 "," 6,228.52 "," 7,312.50 "," 8,010.09 "," 8,592.26 "," 8,843.93 "," 11,013.34 "," 12,882.17 "," 14,364.95 "," 31,014.89 "," 111,574.69 "," 4,661.32 "," 6,335.13 "," 7,207.62 "," 8,581.83 "," 7,857.56 "," 10,612.38 "," 10,311.39 "," 10,838.87 "," 12,648.23 "," 32,520.35 "," 164,347.09 "," 6,053.10 "," 7,776.69 "," 9,866.18 "," 10,633.73 "," 11,484.72 "," 12,767.96 "," 14,146.57 "," 15,649.22 "," 18,259.65 "," 57,709.27 ",-1.2,0.1,1.7,-1.4,7.1,-8.6,20.0,-6.4,-15.9,-12.0,4.9,47.3,29.9,22.8,36.9,23.9,46.2,20.3,37.2,44.4,44.4,77.5
Pateros," 6,132.02 ", 279.47 , 347.03 , 442.95 , 528.02 , 585.76 , 569.51 , 643.79 , 769.43 , 799.69 ," 1,166.37 "," 5,094.35 ", 275.72 , 378.41 , 369.94 , 436.16 , 484.67 , 507.65 , 601.87 , 621.12 , 628.52 , 790.28 ," 7,135.91 ", 346.14 , 445.65 , 485.88 , 593.50 , 652.19 , 714.14 , 726.48 , 847.15 ," 1,004.92 "," 1,319.84 ",-16.9,-1.3,9.0,-16.5,-17.4,-17.3,-10.9,-6.5,-19.3,-21.4,-32.2,40.1,25.5,17.8,31.3,36.1,34.6,40.7,20.7,36.4,59.9,67.0
City of Taguig," 99,716.19 "," 5,017.77 "," 6,478.48 "," 7,514.66 "," 7,850.06 "," 8,255.89 "," 9,784.64 "," 11,108.71 "," 12,214.75 "," 12,492.74 "," 18,998.48 "," 99,626.64 "," 5,348.52 "," 6,852.11 "," 7,221.94 "," 8,291.47 "," 8,354.49 "," 9,219.16 "," 10,476.48 "," 11,279.65 "," 13,546.87 "," 19,035.96 "," 150,373.59 "," 6,801.57 "," 8,700.42 "," 10,205.81 "," 11,041.54 "," 11,741.16 "," 14,197.15 "," 14,585.42 "," 17,123.33 "," 18,880.56 "," 37,096.64 ",-0.1,6.6,5.8,-3.9,5.6,1.2,-5.8,-5.7,-7.7,8.4,0.2,50.9,27.2,27.0,41.3,33.2,40.5,54.0,39.2,51.8,39.4,94.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR - CORDILLERA ADMINISTRATIVE REGION," 149,519.27 "," 5,049.78 "," 6,673.04 "," 7,894.88 "," 8,721.70 "," 9,950.63 "," 12,018.73 "," 14,531.63 "," 17,329.16 "," 23,351.73 "," 43,998.00 "," 156,804.61 "," 6,263.21 "," 8,041.11 "," 9,224.73 "," 10,274.89 "," 11,470.47 "," 13,059.27 "," 14,690.95 "," 17,590.63 "," 22,834.90 "," 43,354.44 "," 166,577.62 "," 8,179.28 "," 10,005.11 "," 11,317.53 "," 12,382.03 "," 13,233.02 "," 15,674.00 "," 17,556.35 "," 20,237.36 "," 22,973.95 "," 35,018.98 ",4.9,24.0,20.5,16.8,17.8,15.3,8.7,1.1,1.5,-2.2,-1.5,6.2,30.6,24.4,22.7,20.5,15.4,20.0,19.5,15.1,0.6,-19.2
Abra," 13,265.51 ", 519.91 , 694.08 , 765.56 , 851.90 ," 1,064.84 "," 1,104.61 "," 1,195.11 "," 1,541.38 "," 1,934.13 "," 3,593.99 "," 15,355.87 ", 694.62 , 843.86 , 907.82 ," 1,090.33 "," 1,119.67 "," 1,236.98 "," 1,347.06 "," 1,572.45 "," 2,141.94 "," 4,401.14 "," 16,345.74 ", 836.56 ," 1,089.59 "," 1,135.91 "," 1,290.07 "," 1,365.17 "," 1,379.56 "," 1,577.71 "," 1,742.10 "," 2,142.13 "," 3,786.94 ",15.8,33.6,21.6,18.6,28.0,5.2,12.0,12.7,2.0,10.7,22.5,6.5,20.4,29.1,25.1,18.3,21.9,11.5,17.1,10.8,0.0,-14.0
Benguet (Excluding City of Baguio)," 41,457.73 "," 1,423.52 "," 1,996.75 "," 2,317.04 "," 2,605.09 "," 3,094.73 "," 3,412.00 "," 3,895.42 "," 4,611.99 "," 6,032.35 "," 12,068.84 "," 41,403.86 "," 1,677.34 "," 2,188.64 "," 2,576.90 "," 2,952.50 "," 3,041.63 "," 3,554.32 "," 4,027.76 "," 4,634.49 "," 5,743.21 "," 11,007.08 "," 46,118.30 "," 2,281.58 "," 2,963.05 "," 3,419.54 "," 3,649.95 "," 4,009.02 "," 4,611.68 "," 5,133.40 "," 5,456.58 "," 6,069.14 "," 8,524.36 ",-0.1,17.8,9.6,11.2,13.3,-1.7,4.2,3.4,0.5,-4.8,-8.8,11.4,36.0,35.4,32.7,23.6,31.8,29.8,27.5,17.7,5.7,-22.6
City of Baguio," 48,710.34 "," 1,657.22 "," 2,274.62 "," 2,677.80 "," 3,432.33 "," 3,993.48 "," 4,323.03 "," 4,653.36 "," 6,323.42 "," 7,081.84 "," 12,293.22 "," 46,754.71 "," 1,940.61 "," 2,645.36 "," 3,049.44 "," 3,435.88 "," 3,599.15 "," 3,883.05 "," 4,709.76 "," 5,294.33 "," 6,137.62 "," 12,059.50 "," 47,232.91 "," 2,584.00 "," 3,071.87 "," 3,683.67 "," 4,127.47 "," 4,260.96 "," 4,822.58 "," 5,278.62 "," 5,831.41 "," 5,515.99 "," 8,056.36 ",-4.0,17.1,16.3,13.9,0.1,-9.9,-10.2,1.2,-16.3,-13.3,-1.9,1.0,33.2,16.1,20.8,20.1,18.4,24.2,12.1,10.1,-10.1,-33.2
Ifugao," 14,070.34 ", 647.24 , 771.62 , 915.94 , 901.42 , 896.24 ," 1,092.87 "," 1,244.68 "," 1,439.37 "," 2,098.69 "," 4,062.26 "," 15,474.53 ", 667.48 , 896.40 , 925.75 ," 1,099.51 "," 1,124.40 "," 1,299.62 "," 1,453.95 "," 1,727.88 "," 2,297.11 "," 3,982.42 "," 15,517.48 ", 847.27 ," 1,021.03 "," 1,126.49 "," 1,087.27 "," 1,192.00 "," 1,234.29 "," 1,320.11 "," 1,551.73 "," 2,021.26 "," 4,116.04 ",10.0,3.1,16.2,1.1,22.0,25.5,18.9,16.8,20.0,9.5,-2.0,0.3,26.9,13.9,21.7,-1.1,6.0,-5.0,-9.2,-10.2,-12.0,3.4
